,categories,seedwords,words,rseeds
0,help,"['rescue', 'counsel', 'treat']","['intervene', 'help', 'counsel', 'treat', 'rescue']","[50, 43, 36]"
1,office,"['manager', 'setup', 'backroom']","['gene_michael', 'office', 'al_harazin', 'bob_watson', 'brian_cashman', 'setup', 'frank_cashen', 'general_manager', 'baseball_operations', 'art_howe', 'joe_mcilvaine', 'gerry_hunsicker', 'managing', 'steve_phillips', 'jim_duquette', 'manager', 'backroom']","[4, 57, 7]"
2,dance,"['choreographer', 'jukebox', 'contemporary']","['modernist', 'contemporary', 'tango', 'noh', 'ensemble', 'minimalist', 'set_designer', 'pilobolus', 'martha_graham', 'mark_morris', 'mime', 'martha_grahams', 'burlesque', 'troupe', 'avant', 'ballerina', 'other_choreographers', 'operetta', 'the_wooster_group', 'cabaret', 'george_balanchine', 'electronic_music', 'mr_lubovitch', 'kabuki', 'john_cage', 'paul_taylor', 'mr_wheeldon', 'puppetry', 'philip_glass', 'steve_reich', 'jerome_robbins', 'mr_feld', 'baroque', 'jukebox', 'performance_art', 'performance_artist', 'lighting_designer', 'meredith_monk', 'choreographer', 'chinese_opera', 'mr_pendleton', 'twyla_tharp', 'songwriting', 'modern_dance', 'baroque_music', 'operatic', 'trisha_brown', 'classical_ballet', 'ms_monk', 'classical', 'richard_foreman', 'musical_theater', 'vaudeville', 'italian_opera', 'alvin_ailey', 'ballet', 'pina_bausch', 'ms_childs', 'robert_wilson', 'dance', 'mr_baryshnikov', 'young_composer', 'flamenco', 'laurie_anderson', 'william_forsythe', 'alwin_nikolais', 'virtuoso', 'ailey', 'bill_t_jones', 'original_score', 'diva', 'merce_cunningham', 'choreographic', 'stage_director', 'martha_clarke', 'theatrical', 'costume_designer', 'composer', 'ms_taymor', 'mr_kudelka', 'kurt_weill', 'mr_martins', 'puppeteer', 'isadora_duncan']","[30, 8, 13]"
3,money,"['dime', 'mint', 'wage']","['a_penny', 'pennies', '515', 'mint', 'average_family', '20_cents', 'extra', 'minimum_wage', 'about_3', 'less_than_5', 'about_12', 'less_than_1', 'about_9', 'dime', 'about_1', '35_cents', 'average_worker', 'about_250', 'more_than_100', 'about_10', 'few_dollars', '425', 'dollar', 'money', '10_cents', 'quart', 'ton', '40_cents', 'wage', '30_cents', 'less_than_10', 'about_6', '15_cents', 'allowance', 'loaf', 'about_4', 'about_100', 'about_20', 'penny', 'nickel', 'few_pennies', 'federal_minimum_wage', 'about_5', 'about_30', 'cent', 'about_7', 'pie', 'hourly_wage', '5_cents', 'extra_dollar', 'wages', 'more_than_10', 'about_2', 'earners', 'takehome_pay', '60_cents']","[92, 83, 22]"
4,wedding,"['cancel', 'someday', 'faithful']","['cancel', 'abandon', 'someday', 'faithful', 'wedding']","[54, 24, 85]"
5,domestic_work,"['cleaned', 'home', 'washer']","['refinished', 'repaired', 'concrete_floor', 'storage_room', 'unheated', 'refrigerator', 'entire_house', 'mattresses', 'radiator', 'faucets', 'heating_system', 'cleaned', 'airconditioner', 'kitchen_cabinets', 'dishwasher', 'laundry_room', 'vacuumed', 'scrub', 'boiler', 'stoves', 'shed', 'wood_stove', 'repainting', 'laundry', 'plumbing', 'guest_room', 'storage_area', 'closets', 'washing', 'bathtub', 'gutters', 'vacuuming', 'home', 'house', 'radiators', 'sink', 'heater', 'carpeting', 'washing_machine', 'air_conditioner', 'scrubbing', 'domestic_work', 'washer', 'dryer']","[36, 40, 19]"
6,sleep,"['hotel', 'tonight', 'blanket']","['ballroom', 'courtyard', 'the_night', 'hotel', 'sunday_night', 'evening', 'hot_tub', 'bed', 'shower', 'all_night', 'cot', 'banquet_hall', 'tarp', 'small_room', 'downtown_hotel', 'balcony', 'sleeping_bags', 'sleep', 'hotel_room', 'blanket', 'tonight', 'tent', 'night', 'hotel_lobby', 'sunday_morning']","[35, 41, 8]"
7,medical_emergency,"['severe', 'swelling', 'ventilator']","['sores', 'tremors', 'ill_effects', 'paralysis', 'clot', 'tendons', 'medical_emergency', 'breathing_problems', 'thyroid', 'amputation', 'nausea', 'scarring', 'headaches', 'diarrhea', 'nerve_damage', 'disabling', 'blood_vessels', 'severe_cases', 'wheezing', 'excruciating_pain', 'bowel', 'hemorrhage', 'fever', 'ulcers', 'inflamed', 'arthritis', 'fractures', 'back_pain', 'headache', 'chronic', 'neurological_damage', 'heart_muscle', 'breathing', 'inactivity', 'blisters', 'abrasions', 'allergic_reaction', 'chest_pain', 'cramps', 'untreated', 'strain', 'respiratory_problems', 'severe_pain', 'ventilator', 'blood_flow', 'swelling', 'other_symptoms', 'asthma', 'sprains', 'gangrene', 'airways', 'cataracts', 'viral_infection', 'scar_tissue', 'debilitating', 'memory_loss', 'severe', 'coughing', 'convulsions', 'rashes', 'skin_cancer', 'frostbite', 'relapse', 'tumor', 'arteries', 'brain_damage', 'blood_clots', 'broken_bones', 'soreness', 'abdominal_pain', 'fevers', 'lungs', 'numbness', 'stiffness', 'spinal_cord', 'redness', 'lesions', 'atherosclerosis', 'polyps', 'inflammation', 'ailment', 'dizziness', 'vomiting', 'dementia', 'sleep_apnea', 'sore_throat', 'anemia', 'esophagus', 'chronic_pain', 'swollen', 'bleeding', 'permanent_damage', 'dehydration', 'hypothermia', 'angina', 'infections', 'fatigue', 'bladder', 'immobilized', 'carpal_tunnel_syndrome', 'other_ailments', 'constipation', 'kidney_problems', 'lymph_nodes', 'crippling', 'blockage', 'bronchitis', 'colds', 'fracture', 'lung']","[106, 3, 5]"
8,cold,"['insulate', 'weather', 'air']","['bad_weather', 'sunlight', 'extreme_heat', 'currents', 'fog', 'tides', 'summer_heat', 'skies', 'inclement_weather', 'humid', 'cold', 'exhaust', 'breezes', 'cools', 'vapor', 'insulate', 'vegetation', 'hot_days', 'smog', 'rainstorms', 'high_pressure', 'weather', 'weather_conditions', 'thunderstorms', 'el_nino', 'winter_weather', 'hot_weather', 'vibration', 'odors', 'low_temperatures', 'hot_air', 'climate', 'temperature', 'temperatures', 'humidity', 'warm_air', 'high_winds', 'cold_air', 'cool_air', 'water_temperature', 'intense_heat', 'cooling', 'water', 'winds', 'blackouts', 'high_temperatures', 'clouds', 'high_humidity', 'storms', 'high_altitudes', 'wind', 'spills', 'cold_weather', 'wet_weather', 'sun', 'haze', 'air', 'moisture', 'air_pressure', 'extreme_cold', 'dissipate', 'sea_water', 'dampness', 'water_pressure', 'evaporation', 'heat', 'vibrations', 'damp', 'chill']","[12, 40, 54]"
9,hate,"['rejection', 'unkind', 'hypocrite']","['disloyal', 'mockery', 'unprincipled', 'insensitivity', 'disavow', 'denunciation', 'rejecting', 'indecisiveness', 'unpatriotic', 'outspokenness', 'undemocratic', 'unjust', 'pronouncement', 'passivity', 'hypocrite', 'tacitly', 'opportunism', 'timidity', 'such_criticism', 'vagueness', 'condemnation', 'abhorrence', 'vindication', 'political_expediency', 'retribution', 'appeasement', 'rebuke', 'irresponsibility', 'rejection', 'immoral', 'such_comments', 'repudiating', 'smacks', 'censure', 'divisiveness', 'opprobrium', 'many_conservatives', 'such_remarks', 'sham', 'intolerant', 'irrevocable', 'scorn', 'dissent', 'contrition', 'shameful', 'outright', 'hypocritical', 'serious_mistake', 'such_ideas', 'rebuff', 'inflexibility', 'ingratitude', 'such_statements', 'repudiate', 'vehemence', 'such_language', 'distaste', 'such_talk', 'cowardice', 'indifference', 'dislike', 'hypocrisy', 'insincere', 'misguided', 'disapproval', 'ridicule', 'grandstanding', 'such_views', 'ostracism', 'hate', 'zealotry', 'public_humiliation', 'equivocation', 'disloyalty', 'animus', 'stubbornness', 'organized_religion', 'heresy', 'intransigence', 'capitulation', 'meddling', 'vindictive', 'disingenuous', 'wrongheaded', 'acquiescence', 'overreaching', 'demagoguery', 'insulting', 'pandering', 'many_liberals', 'illegitimate', 'unfairness', 'denial', 'unkind', 'refutation', 'laziness', 'racist', 'obstinacy', 'reticence', 'repudiation', 'implicitly']","[72, 9, 98]"
