,categories,seedwords,words
0,help,['help'],"['anymore', 'trust', 'continue', 'believe', 'control', 'anything', 'fix', 'stop', 'save', 'show', 'bring', 'explain', 'ask', 'find', 'need', 'force', 'keep', 'helping', 'try', 'protect', 'blame', 'wish', 'carry', 'offer', 'but', 'understand', 'please', 'leave', 'wanted', 'handle', 'work', 'manage', 'best', 'cause', 'help']"
1,office,['office'],"['lab', 'parlor', 'courtroom', 'study', 'waiting_room', 'principle', 'interview_room', 'examination_room', 'lobby', 'receptionist', 'cubicle', 'main_lobby', 'conference_room', 'receptionist_desk', 'english_classroom', 'laboratory', 'school_building', 'control_room', 'study_room', 'headmasters_office', 'secretary', 'court_room', 'house', 'guidance_office', 'computer_room', 'main_office', 'precinct', 'back_room', 'paperwork', 'office_building', 'lecture_hall', 'nurses_office', 'u2019s_office', 'apartment', 'private_room', 'clinic', 'form_room', 'small_office', 'police_station', 'principal', 'principals_office', 'back_office', 'ward', 'hall', 'main_building', 'principles_office', 'main_desk', 'dorm', 'office_room', 'reception_desk', 'main_hall', 'nurses_station', 'front_desk', 'offices', 'class_room', 'administration_office', 'dining_hall', 'main_hallway', 'auditorium', 'main_entrance', 'reception_area', 'dinning_hall', 'home_office', 'dorm_room', 'dormitory', 'backroom', 'break_room', 'main_room', 'interrogation_room', 'office', 'waiting_area', 'school_office', 'meeting_room', 'front_office', 'detention_room', 'library', 'training_room', 'science_lab', 'dorm_building', 'headmaster', 'principals', 'art_room', 'science_room', 'main_reception', 'classroom', 'staff_room', 'principalu2019s_office', 'reception']"
2,dance,['dance'],"['practice', 'perform', 'dancing', 'slow_dance', 'twerk', 'singing', 'waltz', 'serenade', 'choreography', 'hip_hop', 'twerking', 'slow_dancing', 'flirt', 'practise', 'slow_songs', 'tango', 'play', 'dance', 'slow_song', 'rap', 'sing', 'dances', 'dance_partner', 'dancers', 'danced', 'first_dance', 'along', 'dance_floor', 'skate', 'dance_moves', 'dj', 'other_dancers']"
3,money,['money'],"['debts', 'merchandise', 'ebay', 'jobs', 'good_money', 'little_money', 'charity', 'deposit', 'tuition', 'bills', 'twenty_dollars', 'a_thousand_dollars', 'afford', 'taxes', 'money', 'credit_cards', 'dollar', 'insurance', 'discount', 'small_fortune', 'that_much_money', 'minimum_wage', 'enough_money', 'fees', 'life_savings', 'dollars', 'sell', 'bank_account', 'odd_jobs', 'price', 'tax', 'extra_cash', 'one_hundred_dollars', 'costs', 'budget', 'expensive_things', 'two_hundred_dollars', 'only_money', 'so_much_money', 'how_much_money', 'coupons', 'monthly', 'bank_accounts', 'five_hundred_dollars', 'millions_of_dollars', 'thousands_of_dollars', 'pocket_money', 'rent', 'fifty_dollars', 'fee', 'pay_check', 'gas_money', 'sold', 'credit_card', 'a_hundred_dollars', 'job', 'trust_fund', 'much_money', 'expenses', 'winnings', 'black_market', 'pay', 'allowance', 'paid', 'earnings', 'salary', 'pennies', 'stocks', 'goods', 'plane_ticket', 'child_support', 'large_sum', 'own_money', 'necessities', 'college_fund', 'paycheck', 'medical_bills', 'debt', 'big_bucks', 'profit', 'valuables', 'more_money', 'buy', 'piggy_bank', 'savings', 'fortune', 'too_much_money', 'enough_cash', 'selling', 'wages', 'donations', 'hundreds_of_dollars', 'paychecks', 'bill', 'income', 'extra_money', 'loans', 'cash', 'fake_id', 'hospital_bills', 'mortgage', 'most_money', 'big_money', 'as_much_money', 'funds']"
4,wedding,['wedding'],"['holiday', 'wedding_planner', 'visit', 'gala', 'proposal', 'plans', 'halloween_party', 'outing', 'dinner_party', 'christmas', 'first_birthday', 'bridesmaid', 'fashion_show', 'date', 'photo_shoot', 'masquerade_ball', 'funeral', 'wedding_ceremony', 'reunion', '18th_birthday', 'bridesmaids', 'birthday', 'family_dinner', 'one_year_anniversary', 'honeymoon', 'wedding_night', 'charity_event', 'honey_moon', 'party', 'engagement', 'weddings', 'art_show', 'married', 'camping_trip', 'concert', 'wedding', 'big_wedding', 'shopping_trip', 'wedding_plans', 'eighteenth_birthday', 'bride', 'first_date', 'christmas_party', 'surprise_party', 'wedding_day', 'proposing', 'first_anniversary', 'wedding_party', 'baby_shower', 'dinner_date', 'fancy_dinner', 'meeting', 'ceremony', 'fiancu00e9', 'next_month', 'special_day', 'birthday_party', 'celebrate', 'big_event', 'vacation', 'graduation', 'first_interview', 'coronation', 'marriage', 'first_dance', 'school_dance', 'homecoming', 'flower_girl', 'thanksgiving', 'special_dinner', 'big_party', 'graduation_party', 'prom', 'fundraiser', 'celebration', 'second_date', 'banquet', 'event', 'premiere', 'family_reunion', 'festival', 'engagement_party', '19th_birthday', 'proposed', 'birthday_dinner', 'graduation_ceremony', 'seventeenth_birthday', 'lunch_date', 'anniversary', 'propose', '20th_birthday', 'special_night', 'groom', 'wedding_date']"
5,domestic_work,['housework'],"['decorating', 'meals', 'extra_help', 'extra_work', 'cleaning', 'daily_chores', 'jobs', 'exercising', 'homeworks', 'chores', 'babysitting', 'baking', 'volunteer_work', 'good_food', 'domestic_work', 'more_work', 'cooks', 'counseling', 'household_chores', 'cook', 'yard_work', 'nannies', 'heavy_lifting', 'house_chores', 'gardening', 'volunteering', 'house_work', 'extra_hours', 'medical_care', 'own_job', 'good_meal', 'extra_shifts', 'other_jobs', 'pamper', 'second_job', 'work', 'cooking', 'odd_jobs', 'manual_labor', 'housework', 'extra_cash']"
6,sleep,['sleep'],"['asleep', 'little_nap', 'shower', 'sleepy', 'home', 'rest', 'snuggle', 'comfortable_bed', 'alone', 'sleeps', 'lie', 'real_bed', 'awake', 'naps', 'bed', 'wake', 'good_sleep', 'good_nights_sleep', 'stay', 'same_bed', 'little_sleep', 'every_night', 'own_bed', 'more_sleep', 'bad_dreams', 'tired', 'sleep', 'good_night_sleep', 'leave', 'nap', 'waking', 'morning', 'slept', 'air_mattress', 'cuddle', 'tonight', 'sleeping', 'night']"
7,medical_emergency,['medical'],"['donation', 'specializes', 'pertaining', 'experts', 'reports', 'supplies', 'certified', 'minors', 'recommended', 'researcher', 'trading', 'contractors', 'resource', 'conducting', 'conducted', 'limited', 'acquiring', 'insurance', 'development', 'donate', 'discharge', 'properties', 'provide', 'functions', 'regulation', 'accounting', 'funded', 'specialists', 'engineering', 'prescribed', 'facilities', 'supplying', 'medical', 'specialist', 'standard', 'consultant', 'marketing', 'acquire', 'pharmacist', 'distribute', 'engineer', 'services', 'financial', 'operates', 'department', 'payments', 'personnel', 'communications', 'disposal', 'forensics', 'obtained', 'conduct', 'researchers', 'stocks', 'authorized', 'tech', 'requiring', 'repairs', 'requires', 'research', 'required', 'supply', 'donated', 'funding', 'supplied', 'other_forms', 'law_enforcement', 'designated', 'military', 'administration', 'usage', 'engineers', 'housing', 'require', 'mechanics', 'overseeing', 'administer', 'maintenance', 'minor', 'procedures', 'provides', 'operating', 'policy', 'undergoing', 'operations', 'qualifications', 'administering', 'employed', 'identification', 'placement', 'upgraded', 'medical_field', 'hardware', 'finances', 'labs', 'specialize', 'production', 'specialized', 'political', 'manufactured', 'medical_emergency', 'specified', 'weaponry', 'exempted']"
8,cold,['cold'],"['suffocating', 'scorching', 'slimy', 'sticky', 'bitter', 'heat', 'brittle', 'hollow', 'itchy', 'chilly', 'light', 'brisk', 'blistering', 'temperature', 'wet', 'numb', 'crisp', 'humidity', 'winter_weather', 'muggy', 'icy', 'lukewarm', 'breezy', 'dark', 'slippery', 'warmer', 'refreshing', 'stuffy', 'stiff', 'blizzard', 'freezing', 'clammy', 'soaked', 'frigid', 'rainy', 'cloudy', 'cold_temperature', 'frosty', 'cold', 'feverish', 'cold_night', 'dry', 'ice', 'heavy', 'shivering', 'cold_weather', 'damp', 'colder', 'stale', 'coldness', 'humid', 'soft', 'hot', 'windy', 'warm', 'winter_air', 'winter', 'moist']"
9,hate,['hate'],"['anymore', 'liars', 'mad', 'remind', 'believe', 'honestly', 'becuase', 'fucking', 'horrible', 'annoy', 'bully', 'hated', 'stupid', 'judge', 'disgusts', 'annoying', 'likes', 'deserve', 'burning_passion', 'love', 'hurt', 'bug', 'seriously', 'liked', 'swear', 'every_single_day', 'everyday', 'bad', 'because', 'bet', 'bullshit', 'blame', 'despise', 'loved', 'understand', 'assholes', 'hate', 'bothers', 'sickens', 'regret', 'always', 'why', 'dislike', 'upsets', 'trust', 'disgust', 'coz', 'deal', 'irritates', 'knows', 'heck', 'nt', 'see', 'annoys', 'loathe', 'adore', 'miss', 'care', 'mean', 'detest', 'pity', 'bugs', 'thing', 'many_reasons', 'mainly', 'sad_part', 'anyways', 'hating', 'matter', 'ugh', 'complain', 'cares', 'awful', 'unfair', 'hates', 'sometimes', 'does', 'terrible', 'fake_people', 'sucks', 'means', 'cause', 'like', 'loves']"
