,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
1337,Chi,LR1,8,0.7222222222222223,0.6296296296296297,13,4,7,3,[1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 1 0 1 1 0 1],41702
1338,Chi,SVC1,8,0.6060606060606061,0.5185185185185185,10,4,7,6,[1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 0 1 0 1 1 0 1 0 0 1],41702
1339,Chi,SVC2,8,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1],41702
1340,Chi,SVC3,8,0.7804878048780487,0.6666666666666666,16,2,9,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1],41702
1341,Chi,SVC4,8,0.6857142857142857,0.5925925925925926,12,4,7,4,[1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 0 1 1 0 1],41702
1342,Chi,kNN3,8,0.6486486486486486,0.5185185185185185,12,2,9,4,[1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1],41702
1343,Chi,kNN5,8,0.6285714285714286,0.5185185185185185,11,3,8,5,[1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1],41702
1344,Chi,NB,9,0.6666666666666667,0.5925925925925926,11,5,6,5,[1 0 1 0 1 1 0 1 1 1 1 0 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1],41702
1345,Chi,LR1,9,0.7222222222222223,0.6296296296296297,13,4,7,3,[1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1],41702
1346,Chi,SVC1,9,0.6060606060606061,0.5185185185185185,10,4,7,6,[1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 1],41702
1347,Chi,SVC2,9,0.7179487179487181,0.5925925925925926,14,2,9,2,[1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1],41702
1348,Chi,SVC3,9,0.7692307692307693,0.6666666666666666,15,3,8,1,[1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1],41702
1349,Chi,SVC4,9,0.6857142857142857,0.5925925925925926,12,4,7,4,[1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 0 1 1 0 1],41702
1350,Chi,kNN3,9,0.6666666666666665,0.5555555555555556,12,3,8,4,[1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1],41702
1351,Chi,kNN5,9,0.6666666666666667,0.5925925925925926,11,5,6,5,[1 0 1 0 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1],41702
1352,Chi,NB,10,0.6875,0.6296296296296297,11,6,5,5,[1 0 1 0 1 1 0 1 1 1 1 0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],41702
1353,Chi,LR1,10,0.742857142857143,0.6666666666666666,13,5,6,3,[1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 1 0 1 1 0 1],41702
1354,Chi,SVC1,10,0.6060606060606061,0.5185185185185185,10,4,7,6,[1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 1],41702
1355,Chi,SVC2,10,0.7179487179487181,0.5925925925925926,14,2,9,2,[1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1],41702
1356,Chi,SVC3,10,0.7692307692307693,0.6666666666666666,15,3,8,1,[1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1],41702
1357,Chi,SVC4,10,0.742857142857143,0.6666666666666666,13,5,6,3,[1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 1 0 1 1 0 1],41702
1358,Chi,kNN3,10,0.6857142857142857,0.5925925925925926,12,4,7,4,[1 1 1 0 1 1 0 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1],41702
1359,Chi,kNN5,10,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 0 1 0 1 1 0 1 1 1 1 0 1 0 1 0 0 1 1 0 1 1 0 1 1 0 1],41702
