,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,Chi,NB,1,0.7222222222222223,0.6296296296296297,13,4,7,3,[0 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
1,Chi,LR1,1,0.6857142857142857,0.5925925925925926,12,4,7,4,[0 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1],20141
2,Chi,SVC1,1,0.7222222222222223,0.6296296296296297,13,4,7,3,[0 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
3,Chi,SVC2,1,0.7027027027027026,0.5925925925925926,13,3,8,3,[0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
4,Chi,SVC3,1,0.7000000000000001,0.5555555555555556,14,1,10,2,[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
5,Chi,SVC4,1,0.787878787878788,0.7407407407407407,13,7,4,3,[0 0 1 1 1 1 0 1 1 1 0 0 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1],20141
6,Chi,kNN3,1,0.6842105263157896,0.5555555555555556,13,2,9,3,[0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
7,Chi,kNN5,1,0.7222222222222223,0.6296296296296297,13,4,7,3,[0 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
8,Chi,NB,2,0.6285714285714286,0.5185185185185185,11,3,8,5,[0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1],20141
9,Chi,LR1,2,0.6857142857142857,0.5925925925925926,12,4,7,4,[0 1 0 0 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
10,Chi,SVC1,2,0.6666666666666665,0.5555555555555556,12,3,8,4,[0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
11,Chi,SVC2,2,0.6666666666666665,0.5555555555555556,12,3,8,4,[0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
12,Chi,SVC3,2,0.7179487179487181,0.5925925925925926,14,2,9,2,[0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
13,Chi,SVC4,2,0.75,0.7037037037037037,12,7,4,4,[0 0 1 0 1 1 0 1 1 1 0 0 0 1 1 1 0 0 1 1 0 1 1 1 1 0 1],20141
14,Chi,kNN3,2,0.6486486486486486,0.5185185185185185,12,2,9,4,[0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],20141
15,Chi,kNN5,2,0.6666666666666665,0.5555555555555556,12,3,8,4,[0 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1],20141
